# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
290 703 0 1023
249 559 1023 1023
476 40 0 0
995 75 0 0
767 3 1023 1023
112 75 0 1023
144 721 0 1023
539 795 1023 1023
180 217 0 0
889 789 1023 0
382 224 0 1023
683 106 0 0
893 779 1023 0
300 640 1023 1023
396 470 1023 1023
123 557 1023 1023
654 231 0 0
432 585 0 0
264 440 0 0
194 528 1023 0
569 29 1023 1023
722 212 1023 0
404 728 1023 1023
185 794 1023 1023
610 394 0 1023
693 358 0 1023
33 257 0 1023
768 733 1023 0
826 336 1023 1023
745 96 0 0
804 982 1023 0
889 811 0 1023
335 834 1023 1023
89 381 1023 0
862 596 1023 1023
765 505 0 1023
791 511 0 0
84 179 0 1023
907 392 1023 0
756 689 1023 0
177 778 0 0
590 290 1023 1023
15 974 0 0
698 995 0 0
633 451 1023 1023
307 693 1023 1023
485 172 0 0
82 853 1023 0
58 781 1023 0
217 101 0 1023
770 818 1023 0
369 175 0 0
456 435 1023 0
423 149 0 1023
667 290 0 1023
900 575 0 1023
65 702 1023 1023
603 635 0 0
548 849 0 0
972 168 1023 1023
4 806 0 1023
688 859 0 0
479 451 1023 1023
213 692 0 1023
334 435 0 0
416 1008 1023 1023
478 288 0 1023
830 672 0 1023
679 755 1023 0
1023 888 1023 1023
779 48 1023 0
985 463 0 0
922 448 1023 0
352 935 0 1023
524 46 1023 0
1008 873 1023 0
461 815 0 0
389 504 0 0
791 331 1023 1023
240 7 1023 0
585 583 0 1023
875 915 0 1023
111 236 0 0
817 902 0 1023
158 1018 0 0
765 318 0 1023
571 40 1023 1023
127 448 0 0
411 966 1023 1023
338 292 0 1023
440 461 1023 0
744 466 0 0
298 982 0 1023
431 497 0 0
937 586 0 1023
124 706 0 1023
339 989 0 0
325 389 0 1023
758 528 1023 1023
158 632 0 0
515 28 1023 1023
513 730 1023 0
945 415 0 0
127 389 1023 1023
500 654 0 1023
731 473 0 0
10 441 0 0
572 471 1023 1023
923 24 1023 0
960 760 1023 0
560 769 0 1023
39 703 0 1023
433 172 1023 0
135 621 1023 0
976 530 1023 1023
615 513 0 1023
504 962 1023 0
395 388 0 1023
497 70 1023 0
423 791 1023 0
874 239 1023 1023
577 298 0 1023
638 909 0 1023
996 346 0 1023
528 647 0 1023
933 21 1023 0
40 845 1023 1023
302 942 1023 1023
803 376 1023 1023
687 608 1023 0
1012 178 0 0
942 711 0 1023
326 132 1023 0
251 138 1023 1023
772 806 1023 1023
311 603 1023 0
436 368 1023 0
733 125 0 1023
565 259 0 1023
271 40 0 1023
620 177 1023 0
636 580 1023 0
555 415 1023 1023
867 672 1023 1023
951 399 0 1023
143 394 1023 0
272 775 0 1023
465 443 1023 1023
202 749 1023 1023
849 1005 1023 0
951 387 0 0
975 771 1023 1023
234 760 0 1023
518 836 0 1023
686 10 0 0
783 265 0 0
866 350 1023 0
66 965 1023 1023
361 612 0 1023
832 464 0 1023
192 541 1023 1023
711 478 1023 1023
852 101 0 0
648 876 1023 1023
96 802 0 0
757 951 1023 0
802 285 0 1023
32 799 0 1023
824 350 0 0
993 666 1023 0
818 546 0 1023
99 296 1023 0
639 912 1023 1023
484 273 0 0
618 967 0 0
1008 729 0 0
939 357 1023 0
888 705 0 1023
637 633 1023 0
347 856 1023 0
958 252 0 0
210 299 0 0
444 980 1023 1023
887 72 1023 1023
152 902 0 0
989 951 1023 1023
383 518 0 0
1010 5 1023 1023
696 205 0 1023
765 425 1023 1023
75 912 1023 1023
989 834 0 0
496 369 1023 1023
559 713 1023 0
215 532 0 1023
906 685 0 1023
369 558 0 1023
527 805 1023 1023
447 809 1023 1023
442 351 0 0
888 294 1023 1023
688 153 0 0
134 679 0 0
93 382 0 1023
157 592 1023 0
386 510 0 0
562 896 0 0
745 917 0 1023
469 303 0 1023
748 287 0 1023
351 78 1023 1023
828 513 0 0
355 240 1023 0
373 783 0 0
63 964 0 0
797 695 1023 1023
470 75 0 1023
634 567 0 1023
737 653 0 1023
521 768 1023 1023
527 221 1023 1023
7 112 0 0
835 266 1023 0
277 744 0 1023
670 773 1023 0
663 880 1023 1023
248 172 0 1023
502 407 1023 0
514 691 0 1023
495 400 0 1023
772 896 0 1023
715 100 0 0
606 242 1023 0
860 397 1023 1023
272 86 0 0
205 618 1023 0
225 149 0 1023
477 296 0 0
851 543 1023 1023
622 102 1023 1023
786 1021 0 0
59 145 1023 1023
481 129 0 1023
739 927 1023 1023
640 1016 0 1023
699 835 0 0
950 34 0 1023
881 183 1023 1023
434 413 1023 1023
398 1006 1023 0
559 182 1023 0
259 202 1023 1023
234 448 0 0
902 232 1023 1023
294 883 0 0
193 405 1023 1023
34 345 0 1023
295 198 1023 1023
394 751 1023 0
48 952 0 0
855 450 1023 0
894 437 1023 1023
769 96 1023 1023
688 364 0 0
581 583 0 0
593 895 1023 0
462 651 1023 1023
449 482 1023 1023
686 1017 1023 0
450 317 1023 0
18 212 1023 1023
759 995 0 1023
676 652 0 0
336 851 0 1023
62 507 0 1023
506 1021 1023 1023
193 188 1023 1023
731 445 1023 0
367 285 1023 1023
408 229 0 0
1009 153 0 1023
288 183 0 0
461 877 1023 1023
624 519 1023 0
160 510 0 1023
929 661 0 1023
153 686 0 1023
187 851 0 0
375 1017 0 0
217 820 1023 0
861 783 1023 0
810 694 1023 1023
39 904 0 1023
42 763 0 1023
100 654 1023 1023
120 866 0 0
441 525 1023 0
61 935 1023 0
348 93 0 0
715 912 0 0
529 277 0 0
124 93 0 0
714 951 1023 1023
304 897 0 0
201 773 1023 0
514 254 0 1023
534 983 1023 1023
492 766 1023 0
190 171 0 1023
282 586 1023 0
373 781 0 1023
53 544 0 0
879 162 0 0
255 574 0 1023
932 348 0 1023
1009 481 1023 1023
138 356 1023 0
96 413 1023 0
73 850 1023 1023
1015 1014 1023 0
294 254 0 0
240 762 0 1023
205 44 0 1023
848 249 0 0
897 663 1023 0
24 395 0 1023
592 370 1023 1023
251 376 1023 1023
583 592 1023 1023
130 64 1023 1023
498 295 0 0
843 922 0 1023
948 302 0 1023
261 346 0 0
741 315 0 0
835 127 1023 0
112 247 0 0
738 221 0 1023
414 354 0 0
436 256 0 0
417 971 1023 1023
896 951 1023 0
561 335 0 0
179 347 0 1023
110 278 1023 0
904 745 0 0
444 161 1023 0
296 588 1023 1023
342 569 0 0
123 789 1023 1023
595 659 0 0
764 590 0 0
935 1014 0 1023
167 597 0 0
1020 111 1023 1023
526 15 1023 0
19 248 0 1023
795 209 1023 0
408 271 0 1023
156 824 0 0
948 74 1023 0
662 793 0 1023
142 644 1023 1023
882 135 0 0
157 668 0 1023
180 685 0 1023
67 528 1023 1023
145 213 0 0
753 294 1023 0
123 286 0 0
844 179 1023 1023
381 666 1023 0
140 236 1023 0
517 796 0 0
902 273 1023 1023
941 468 0 0
463 225 0 1023
331 973 1023 1023
73 472 0 0
88 963 1023 1023
717 681 0 1023
495 339 0 0
161 198 0 0
387 604 0 0
343 500 0 0
459 75 0 1023
256 41 0 0
90 904 0 1023
782 800 0 0
353 215 0 0
680 789 0 0
714 912 1023 0
357 297 1023 0
87 724 0 1023
487 424 1023 1023
195 191 0 0
29 663 0 1023
711 672 0 1023
527 439 1023 1023
538 159 1023 1023
1001 603 0 1023
419 866 1023 1023
944 819 1023 1023
208 771 1023 1023
6 360 0 0
142 62 1023 1023
974 410 0 1023
807 742 0 0
108 505 0 0
375 566 1023 1023
370 712 1023 1023
458 320 1023 1023
827 303 1023 0
505 876 1023 0
44 443 1023 0
181 720 0 1023
191 20 1023 0
559 47 0 1023
22 982 1023 1023
905 93 1023 1023
367 754 1023 0
402 381 0 1023
553 650 0 0
711 946 1023 0
127 825 0 1023
904 286 0 1023
75 688 1023 1023
510 24 1023 0
83 400 1023 1023
622 984 1023 0
921 685 1023 1023
434 151 0 1023
310 31 1023 0
19 429 1023 1023
118 501 0 0
22 800 0 0
709 499 1023 0
433 825 1023 1023
510 955 1023 0
1010 820 0 0
376 517 0 0
299 443 1023 1023
214 103 1023 0
685 398 1023 1023
523 805 0 0
630 17 0 1023
977 378 1023 1023
751 861 0 1023
501 71 0 0
410 943 0 1023
892 726 1023 0
610 456 1023 0
626 231 1023 0
1018 258 0 0
110 726 0 1023
18 322 1023 1023
683 729 0 0
1002 15 1023 0
64 686 0 0
32 137 1023 1023
213 496 0 0
1006 98 0 1023
95 182 0 0
94 373 1023 0
1003 18 1023 0
6 673 0 1023
364 775 1023 0
629 837 1023 1023
133 950 0 1023
887 222 0 0
26 551 0 0
499 651 1023 0
836 36 1023 0
739 659 0 1023
912 686 0 0
832 816 1023 1023
283 615 1023 0
538 261 1023 0
974 977 1023 1023
454 974 0 1023
506 670 0 0
717 208 1023 1023
335 241 0 1023
917 814 0 0
706 462 1023 1023
965 179 0 1023
724 165 1023 1023
426 358 0 0
745 712 0 1023
63 421 0 1023
987 470 1023 1023
556 459 1023 1023
884 905 1023 0
315 225 0 1023
69 589 1023 0
2 371 1023 1023
367 524 0 1023
816 404 1023 1023
941 832 1023 1023
565 117 1023 0
895 939 1023 0
195 243 0 0
443 985 1023 1023
611 252 0 1023
397 90 0 0
926 279 1023 1023
568 807 1023 1023
350 211 0 0
464 326 0 0
171 361 1023 0
525 678 1023 1023
832 928 0 0
418 954 1023 0
352 846 1023 1023
875 131 1023 1023
611 788 0 1023
181 84 1023 0
34 739 0 0
324 938 0 1023
244 278 0 0
636 9 1023 0
691 715 0 0
866 141 1023 0
416 852 0 0
117 338 0 0
318 64 1023 1023
246 94 1023 0
784 499 1023 0
686 425 1023 0
127 420 0 1023
129 754 0 0
756 696 0 0
981 153 0 0
250 333 0 1023
733 153 0 0
350 174 1023 0
430 659 1023 0
378 211 0 1023
338 449 0 1023
527 574 0 1023
731 630 1023 1023
26 316 1023 0
454 104 0 1023
223 650 1023 0
618 129 1023 0
400 42 0 1023
622 632 1023 1023
1007 50 1023 0
83 450 1023 1023
1013 234 0 0
996 899 0 0
10 678 0 1023
782 928 1023 1023
795 483 0 0
176 272 0 0
320 722 0 0
322 411 1023 0
742 651 1023 0
1016 894 1023 0
882 673 1023 0
519 354 1023 0
278 957 1023 1023
889 939 1023 1023
771 551 0 1023
549 174 0 0
223 874 1023 0
112 683 1023 1023
434 1019 0 0
520 408 1023 1023
263 904 1023 0
321 133 0 1023
883 877 1023 0
22 340 1023 0
646 1002 0 1023
665 680 0 1023
552 10 1023 1023
398 111 1023 0
342 919 1023 1023
129 339 0 1023
785 327 1023 0
926 264 0 1023
261 170 0 0
153 837 1023 1023
587 75 0 1023
708 995 0 1023
522 423 0 1023
776 630 1023 0
939 605 0 0
678 52 1023 1023
636 446 1023 0
333 35 1023 0
99 858 0 1023
353 287 1023 1023
442 914 0 0
99 942 1023 1023
101 380 1023 0
609 272 0 0
980 573 0 1023
150 659 0 1023
1006 1018 1023 0
804 146 1023 0
973 908 0 0
153 705 0 0
473 953 0 0
209 142 1023 0
280 713 1023 0
850 482 0 0
551 444 1023 0
319 416 0 1023
442 437 1023 1023
192 437 0 0
999 280 1023 1023
359 131 1023 0
911 85 0 0
806 281 1023 0
708 592 0 0
841 606 1023 0
778 525 0 1023
794 674 1023 0
577 399 0 0
428 698 0 0
546 235 0 0
497 402 1023 0
991 287 0 0
566 13 1023 0
648 928 1023 1023
606 599 0 0
798 819 0 1023
612 243 0 1023
327 768 0 0
278 773 0 1023
266 633 1023 0
43 652 0 0
646 252 0 0
223 314 0 1023
119 287 0 0
173 421 0 0
547 994 1023 0
636 187 0 0
603 842 1023 0
312 396 1023 1023
741 408 1023 1023
115 17 1023 1023
678 790 0 0
778 737 1023 1023
184 956 0 1023
979 1010 1023 0
245 270 0 0
426 354 0 0
87 660 1023 1023
964 122 0 1023
970 625 0 1023
429 85 0 1023
1001 515 0 1023
368 414 0 0
514 990 0 0
971 534 1023 0
882 306 1023 0
392 574 0 1023
251 802 0 0
214 852 1023 1023
346 538 0 1023
148 256 1023 1023
5 850 1023 0
82 158 0 0
255 241 1023 0
673 94 0 0
330 399 0 1023
778 113 1023 0
323 463 0 0
142 373 1023 0
45 189 1023 0
343 816 0 0
659 841 1023 0
550 613 1023 1023
895 471 1023 0
63 583 1023 0
557 808 1023 0
632 309 0 0
817 609 1023 0
879 103 1023 0
339 123 1023 0
540 494 1023 0
221 249 0 0
242 518 0 1023
10 429 1023 0
513 905 1023 1023
37 966 0 0
480 193 0 0
101 882 1023 1023
363 619 1023 1023
868 844 1023 1023
325 717 1023 0
250 556 1023 1023
443 320 1023 1023
973 919 0 0
632 657 1023 1023
96 629 1023 1023
400 603 0 1023
992 506 1023 0
121 859 1023 1023
485 466 1023 0
371 197 0 0
798 51 0 0
441 229 0 1023
322 972 0 0
532 627 1023 0
181 436 0 0
647 80 0 1023
842 444 1023 1023
832 860 0 0
847 473 0 0
15 611 1023 1023
792 991 1023 0
66 128 0 1023
514 31 0 0
1020 387 1023 0
417 821 1023 1023
646 675 1023 1023
830 345 0 1023
380 820 0 1023
1023 626 0 0
116 818 0 1023
741 467 1023 0
769 13 0 1023
818 650 0 1023
43 767 0 0
834 377 0 0
276 147 1023 0
615 78 1023 0
144 868 1023 0
863 960 0 1023
278 467 0 1023
340 804 1023 1023
437 809 0 0
640 843 1023 0
89 691 1023 1023
863 947 0 0
491 213 1023 1023
303 570 1023 1023
939 916 0 1023
755 608 1023 0
880 360 1023 0
103 157 1023 0
172 30 0 0
433 325 1023 0
1006 496 1023 1023
794 851 1023 0
764 795 1023 1023
651 181 0 0
878 660 1023 1023
430 967 0 1023
680 466 0 0
292 878 1023 0
702 536 1023 0
772 669 0 1023
51 183 0 0
529 648 1023 0
515 55 1023 0
755 99 0 1023
333 965 1023 1023
634 324 1023 1023
1001 778 1023 1023
484 191 1023 0
677 102 0 0
655 991 1023 1023
729 660 1023 1023
641 543 1023 1023
904 507 1023 1023
470 681 0 0
135 1005 1023 1023
311 789 0 1023
74 666 1023 1023
819 779 0 1023
378 482 1023 0
760 837 0 1023
986 402 1023 1023
505 179 1023 1023
396 901 0 0
405 851 1023 1023
791 372 0 0
780 456 1023 1023
43 840 1023 0
489 438 1023 0
628 633 1023 0
151 658 0 0
209 18 0 0
981 444 1023 0
468 363 0 0
560 588 0 1023
596 903 0 1023
593 3 0 1023
641 505 1023 0
353 288 0 0
374 417 1023 1023
927 801 0 1023
889 1009 1023 1023
1001 876 0 0
271 676 1023 0
883 234 0 1023
578 296 0 0
685 193 1023 0
281 750 1023 0
179 120 0 1023
20 131 0 0
55 809 0 0
469 420 0 1023
665 67 1023 1023
788 562 1023 1023
181 417 0 1023
487 721 0 0
47 887 0 1023
767 391 1023 1023
685 794 1023 0
780 277 0 1023
890 194 0 1023
454 963 0 1023
747 820 0 1023
366 118 1023 0
988 135 1023 0
457 153 1023 1023
414 12 0 0
686 627 0 1023
580 11 0 0
699 261 0 0
315 704 0 0
849 975 0 0
654 994 0 0
1018 567 0 1023
940 338 1023 0
220 345 1023 0
556 250 1023 1023
657 35 0 1023
495 841 0 0
506 753 1023 1023
641 116 1023 1023
852 742 0 0
940 904 0 0
484 75 1023 1023
575 496 0 1023
718 481 0 1023
99 934 0 0
588 996 1023 1023
450 169 0 1023
568 852 1023 0
57 853 1023 0
872 300 0 1023
857 916 1023 0
409 249 1023 1023
57 799 0 0
764 289 0 1023
346 334 0 1023
889 456 1023 1023
118 846 0 1023
666 791 0 1023
921 965 1023 0
152 563 0 0
25 830 0 0
353 988 1023 1023
742 915 1023 1023
273 362 1023 1023
864 274 1023 1023
948 858 1023 1023
878 102 1023 0
312 40 0 0
222 432 1023 1023
11 837 1023 0
54 717 0 1023
901 621 1023 1023
841 707 0 0
824 124 1023 0
987 480 0 0
169 614 0 0
812 603 1023 1023
543 364 0 0
41 301 0 0
293 512 1023 1023
814 722 1023 0
193 953 1023 0
1007 357 0 0
587 801 0 1023
13 826 1023 0
966 438 0 1023
542 785 1023 1023
1022 532 0 0
592 888 0 1023
839 600 0 0
894 226 1023 0
909 948 0 1023
961 324 0 1023
874 433 0 0
803 349 1023 0
342 520 1023 0
783 753 0 0
369 962 0 0
612 236 1023 0
837 681 0 0
374 112 0 1023
230 190 0 0
620 169 0 1023
869 55 0 1023
252 366 0 1023
428 385 1023 0
970 444 0 0
422 944 1023 0
786 24 0 1023
68 791 1023 1023
636 445 1023 1023
